Source,Target,Type,Id,Label,Weight,3,4
56573569700,57210292218,Directed,66,,1,1,0
56573569700,57210292997,Directed,67,,1,1,0
56573569700,35316777100,Directed,68,,1,1,0
56573569700,57209105086,Directed,69,,1,1,0
57216525112,57197124623,Directed,70,,1,1,5
56816369000,55908415500,Directed,71,,1,4,2
56816369000,7004192487,Directed,72,,1,1,0
56816369000,57218290128,Directed,73,,1,2,0
56816369000,57201084931,Directed,74,,1,1,0
56816369000,55926467200,Directed,75,,1,1,0
56816369000,6602436642,Directed,76,,1,1,0
56816369000,56039167500,Directed,77,,1,1,0
56816369000,6603358314,Directed,78,,1,1,0
55908415500,57218290128,Directed,79,,1,6,1
55908415500,56884762100,Directed,80,,1,1,1
55908415500,57188984235,Directed,81,,1,1,1
55908415500,57219119640,Directed,82,,1,3,4
55908415500,57213001300,Directed,83,,1,6,16
55908415500,57188987415,Directed,84,,1,2,8
55908415500,57217246368,Directed,85,,1,3,18
55908415500,57226766436,Directed,86,,1,2,17
55908415500,58895988900,Directed,87,,1,1,1
55908415500,57212392334,Directed,88,,1,2,1
55908415500,58896413200,Directed,89,,1,1,1
55908415500,59158003100,Directed,90,,1,1,0
55908415500,58728864100,Directed,91,,1,1,0
55908415500,57210842815,Directed,92,,1,1,0
55908415500,59152883300,Directed,93,,1,1,0
55908415500,58066046100,Directed,94,,1,1,0
55908415500,58546580100,Directed,95,,1,1,0
55908415500,7004096252,Directed,96,,1,1,0
55908415500,55203431500,Directed,97,,1,2,1
55908415500,57222577631,Directed,98,,1,1,0
55908415500,16309023400,Directed,99,,1,1,0
55908415500,57216405540,Directed,100,,1,1,0
55908415500,7003776935,Directed,101,,1,1,0
55908415500,6602436642,Directed,102,,1,1,0
55908415500,55926467200,Directed,103,,1,1,0
55908415500,56039167500,Directed,104,,1,1,0
55908415500,6603358314,Directed,105,,1,1,0
55908415500,7004192487,Directed,106,,1,2,3
55908415500,57201084931,Directed,107,,1,1,0
55908415500,57221192733,Directed,108,,1,1,1
55908415500,57221208318,Directed,109,,1,1,1
55908415500,6507610213,Directed,110,,1,1,1
55908415500,57188978978,Directed,111,,1,1,1
55908415500,57220185764,Directed,112,,1,1,1
55908415500,57221196080,Directed,113,,1,1,1
55908415500,59232843300,Directed,114,,1,1,0
57382309000,6603844872,Directed,115,,1,3,9
57382309000,36441595100,Directed,116,,1,1,0
57382309000,57216582037,Directed,117,,1,1,0
57382309000,57897646900,Directed,118,,1,1,0
57382309000,57194409673,Directed,119,,1,1,0
57382309000,6603627735,Directed,120,,1,1,8
57382309000,15924771000,Directed,121,,1,2,9
57382309000,57211641026,Directed,122,,1,1,8
57382309000,57226635570,Directed,123,,1,1,1
57216582037,36441595100,Directed,124,,1,1,0
57216582037,57897646900,Directed,125,,1,1,0
57216582037,57194409673,Directed,126,,1,1,0
57216582037,6603844872,Directed,127,,1,4,4
57216582037,55415511600,Directed,128,,1,3,4
57216582037,57214550114,Directed,129,,1,2,0
57216582037,8275338200,Directed,130,,1,1,0
57216582037,57209855400,Directed,131,,1,2,0
57216582037,7003477694,Directed,132,,1,1,0
57216582037,57209848920,Directed,133,,1,2,0
57216582037,6602710857,Directed,134,,1,1,0
57216582037,57217063870,Directed,135,,1,1,4
57216582037,58026872900,Directed,136,,1,1,4
57216582037,35105652600,Directed,137,,1,1,4
57216582037,18433677500,Directed,138,,1,1,4
57216582037,57354214400,Directed,139,,1,1,4
57216582037,57223133879,Directed,140,,1,1,4
57216582037,55763633400,Directed,141,,1,1,4
57216582037,58045076900,Directed,142,,1,1,4
57216582037,57211804765,Directed,143,,1,1,4
57216582037,57211806932,Directed,144,,1,1,4
57216582037,58044948100,Directed,145,,1,1,4
57216582037,57188683331,Directed,146,,1,1,4
57216582037,7202947679,Directed,147,,1,1,4
57216582037,58044823300,Directed,148,,1,1,4
57216582037,56028590400,Directed,149,,1,1,4
57216582037,57212018710,Directed,150,,1,1,0
57216582037,55493359300,Directed,151,,1,1,0
57216582037,6602549353,Directed,152,,1,1,0
57216582037,57212023194,Directed,153,,1,1,0
57194409673,6603844872,Directed,154,,1,1,0
57194409673,36441595100,Directed,155,,1,1,0
57194409673,57897646900,Directed,156,,1,1,0
36441595100,6603844872,Directed,157,,1,4,4
36441595100,57897646900,Directed,158,,1,1,0
36441595100,57476970500,Directed,159,,1,1,6
36441595100,53881420300,Directed,160,,1,1,6
36441595100,57197574683,Directed,161,,1,1,6
36441595100,16309023400,Directed,162,,1,1,6
36441595100,7102422753,Directed,163,,1,1,6
36441595100,58292126700,Directed,164,,1,1,2
36441595100,58292984300,Directed,165,,1,1,2
36441595100,58292700900,Directed,166,,1,1,2
36441595100,58044948100,Directed,167,,1,2,2
36441595100,57222580223,Directed,168,,1,2,4
36441595100,58292415300,Directed,169,,1,2,2
36441595100,55337051300,Directed,170,,1,1,2
36441595100,55926314100,Directed,171,,1,3,4
36441595100,58292267100,Directed,172,,1,1,2
36441595100,58825885400,Directed,173,,1,1,0
