Id,Label,0,1,2,indegree,outdegree,degree,modularity_class,eigencentrality,stat_inf_class,componentnumber,strongcompnum
18433677500,18433677500,Eduardo Aranha,1,false,6,34,40,11,0.014582,52,0,1244
55763633400,55763633400,Aluisio I. R. Fontes,1,false,8,49,57,11,0.024407,4,0,1230
58026872900,58026872900,Pedro V.A. Alves,1,false,7,16,23,11,0.020767,0,0,1229
57354214400,57354214400,Iago Diógenes do Rego,1,false,8,16,24,11,0.025025,0,0,1228
58044823300,58044823300,Mateus A.S.de S. Goldbarg,1,false,10,17,27,11,0.031975,0,0,1227
57217063870,57217063870,Wysterlânya K.P. Barros,1,false,18,27,45,2,0.09157,36,0,1226
58683304700,58683304700,Ramon R. dos Fontes,1,false,10,5,15,11,0.047885,0,0,1225
56028590400,56028590400,Leandro L.S. Linhares,1,false,14,24,38,11,0.065305,4,0,1224
57190426813,57190426813,João P. F. Guimarães,1,false,12,5,17,11,0.065482,0,0,1223
56702327300,56702327300,Joilson B.A. Rego,1,false,13,4,17,11,0.075135,0,0,1222
7202947679,7202947679,MARCELO AUGUSTO COSTA FERNANDES,14,true,28,216,244,11,0.185607,26,0,1221
35105652600,35105652600,Augusto Venâncio Neto,1,false,16,8,24,11,0.111666,0,0,1220
7003477694,7003477694,Visakan Kadirkamanathan,1,false,3,5,8,4,0.007722,0,0,1243
8275338200,8275338200,Anderson Luiz De Oliveira Cavalcanti,1,false,5,22,27,4,0.014617,6,0,1242
57209855400,57209855400,Danilo De Santana Pena,1,false,5,9,14,4,0.013202,0,0,1241
6602710857,6602710857,Karl H. Kienitz,1,false,6,2,8,4,0.016309,0,0,1238
57214550114,57214550114,Hyago Lucas Oliveira,1,false,7,5,12,4,0.019915,0,0,1237
57209848920,57209848920,Luan Pena,1,false,8,4,12,4,0.024075,0,0,1236
57202746263,57202746263,Felipe B. Da Silva,1,false,6,1,7,11,0.041295,0,0,1215
6507790095,6507790095,Ricardo Von Borries,1,false,7,0,7,11,0.047305,0,0,1214
58044948100,58044948100,Lucas Medeiros,1,false,15,17,32,11,0.100542,0,0,1213
57211806932,57211806932,João P. F. Guimarães,1,false,17,16,33,11,0.120431,5,0,1212
57188683331,57188683331,Ramon Fontes,1,false,16,1,17,11,0.127744,0,0,1211
57223133879,57223133879,Vitor Lopes,1,false,17,0,17,11,0.143921,0,0,1194
59004786600,59004786600,Geovane Carvalho,1,false,6,6,12,11,0.042539,5,0,1193
