Scopus refine results values

"Your query : (AF-ID(60023857) AND SUBJAREA(ENGI) AND ( LIMIT-TO ( AF-ID,""Universidade Federal do Rio Grande do Norte"" 60023857) )  AND ( LIMIT-TO ( SUBJAREA,""ENGI"" ) ) )"


Number of results : 3675

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"Goldbarg, E.F.G.","12",,,,,,,"Final Program And Book Of Abstracts Iwat 2010 2010 International Workshop On Antenna Technology Small Antennas Innovative Structures And Materials","6","Property","30","Swansea University","7","Asian Office of Aerospace Research and Development","2",,,,,,
,,,,"Libório, M.S.","12",,,,,,,"IEEE IFIP International Conference On VLSI And System On Chip VLSI Soc","6","Surface Properties","30","Turun yliopisto","7","Association Nationale de la Recherche et de la Technologie","2",,,,,,
,,,,"Lopes, F.V.","12",,,,,,,"IEEE International Conference On Communications","6","Systems Analysis","30","Laboratoire des Signaux et Systèmes","7","Banco do Nordeste do Brasil","2",,,,,,
,,,,"Loureiro, F.J.A.","12",,,,,,,"IEEE International Symposium On Industrial Electronics","6","Uncertainty Analysis","30","Lomonosov Moscow State University","7","Center for Computational Sciences, University of Kentucky","2",,,,,,
,,,,"Machado, L.D.","12",,,,,,,"IEEE Vehicular Technology Conference","6","Wind Power","30","Laboratoire d'Astrophysique de Marseille","7","China Academy of Space Technology","2",,,,,,
,,,,"Maniçoba, R.H.C.","12",,,,,,,"Iccm International Conferences On Composite Materials","6","Artificial Neural Networks","29","University of Montreal","7","Comunidad de Madrid","2",,,,,,
,,,,"Nascimento, J.H.O.","12",,,,,,,"Iet Conference Proceedings","6","Frequency Selective Surface (FSS)","29","Harvard University","7","Consejo Nacional de Investigaciones Científicas y Técnicas","2",,,,,,
,,,,"Nogueira, M.B.","12",,,,,,,"Lecture Notes In Business Information Processing","6","Iterative Methods","29","Hamburg University of Technology","7","Coordena&#x00E7;&#x00E3;o de Aperfei&#x00E7;oamento de Pessoal de N&#x00ED;vel Superior","2",,,,,,
,,,,"Oliveira, J.","12",,,,,,,"Materials Characterization","6","Linear Systems","29","Imperial College London","7","CoordenaÃ§Ã£o de AperfeiÃ§oamento de Pessoal de NÃ­vel Superior","2",,,,,,
,,,,"Raimundo, R.A.","12",,,,,,,"Materials Today Communications","6","Network Architecture","29","Universidade de Fortaleza","7","European Cooperation in Science and Technology","2",,,,,,
,,,,"Rocha, T.O.A.","12",,,,,,,"Proceedings Of The Annual International Conference Of The IEEE Engineering In Medicine And Biology Society EMBS","6","Ternary Alloys","29","University of Bern","7","European Social Fund","2",,,,,,
,,,,"Silva Neto, V.P.","12",,,,,,,"Proceedings Of The International Conference On Engineering Design Iced","6","Thin Films","29","University of Bristol","7","Fundação de Amparo à Pesquisa do Estado da Bahia","2",,,,,,
,,,,"Sousa, R.R.M.","12",,,,,,,"Producao","6","Characterization","28","Osservatorio Astrofisico Di Arcetri","7","Fundação de Amparo à Pesquisa do Estado do Piauí","2",,,,,,
,,,,"da Silva, J.P.","12",,,,,,,"SN Applied Sciences","6","Control Strategies","28","Universidade de Pernambuco","7","Fundação de Apoio ao Desenvolvimento do Ensino, Ciência e Tecnologia do Estado de Mato Grosso do Sul","2",,,,,,
,,,,"de Souza, C.P.","12",,,,,,,"Springerbriefs In Applied Sciences And Technology","6","Data Acquisition","28","Symetrix Corporation","7","Fundo Regional para a Ciência e Tecnologia","2",,,,,,
,,,,"Agresti, I.","11",,,,,,,"14th Brazilian Power Electronics Conference Cobep 2017","5","Dielectric Substrates","28","Universidade Federal de Sao Joao del-Rei","7","Government of Canada","2",,,,,,
,,,,"Araujo, A.","11",,,,,,,"19th IEEE International Conference On Emerging Technologies And Factory Automation ETFA 2014","5","Graphene","28","Osservatorio Astronomico di Brera","7","H2020 Excellent Science","2",,,,,,
,,,,"Burlamaqui, A.M.F.","11",,,,,,,"2016 1st Symposium On Instrumentation Systems Circuits And Transducers Inscit 2016 Proceedings","5","Image Processing","28","Télécom Paris","7","H2020 Marie Skłodowska-Curie Actions","2",,,,,,
,,,,"Carriço, A.S.","11",,,,,,,"65th Abm International Congress 18th Ifhtse Congress And 1st TMS Abm International Materials Congress 2010","5","Portland Cement","28","University of Cambridge","7","Harbin Institute of Technology","2",,,,,,
,,,,"Costa, F.A.","11",,,,,,,"ACS Nano","5","Titanium","28","Université Laval","7","Higher Education Commission, Pakistan","2",,,,,,
,,,,"Costa, J.A.F.","11",,,,,,,"Advanced Powder Technology","5","Aluminum","27","Laboratorio Nacional de Computacao Cientifica, Petropolis","7","Istituto Nazionale di Astrofisica","2",,,,,,
,,,,"De Araújo Melo, D.M.","11",,,,,,,"Asian Journal Of Control","5","Ferrite","27","Centro Federal de Educacao Tecnologica da Paraiba","7","Junta de Andalucía","2",,,,,,
,,,,"De Melo, J.D.","11",,,,,,,"Composites Science And Technology","5","Hydrothermal Synthesis","27","Harvard John A. Paulson School of Engineering and Applied Sciences","7","Kementerian Pendidikan dan Kebudayaan","2",,,,,,
,,,,"Dias, S.","11",,,,,,,"Dental Materials","5","Millimeter Waves","27","Aix Marseille Université","7","Ministry of Education and Science of the Russian Federation","2",,,,,,
,,,,"Egito, E.S.T.","11",,,,,,,"Electrochemical Water And Wastewater Treatment","5","Nanocomposites","27","Université Grenoble Alpes","7","Narodowe Centrum Nauki","2",,,,,,
,,,,"Ferreira, A.","11",,,,,,,"Electronics Letters","5","Photoluminescence","27","Faculty of Science","7","National Aeronautics and Space Administration","2",,,,,,
,,,,"Medeiros, R.P.","11",,,,,,,"European Cells And Materials","5","Powder Metals","27","Launching Center of Barreira do Inferno","6","National Council for Forest Research and Development","2",,,,,,
,,,,"Monção, R.M.","11",,,,,,,"I2mtc 2017 2017 IEEE International Instrumentation And Measurement Technology Conference Proceedings","5","Quality Of Service","27","Federal University of the Semi-Arid","6","Newton Fund","2",,,,,,
,,,,"Naeem, M.","11",,,,,,,"IEEE Transactions On Automatic Control","5","Resins","27","Postgraduate Program in Electrical and Computer Engineering PPgEEC","6","Norges Forskningsråd","2",,,,,,
,,,,"Pimentel, P.M.","11",,,,,,,"IEEE Transactions On Instrumentation And Measurement","5","Transmission Line Theory","27","Senai Institute of Innovation in Renewable Energy","6","Nvidia","2",,,,,,
,,,,"Rezende, J.F.D.","11",,,,,,,"IEEE Transactions On Microwave Theory And Techniques","5","Antenna Arrays","26","Leibniz Institute for Astrophysics Potsdam","6","Office of Science","2",,,,,,
,,,,"Sambrano, J.R.","11",,,,,,,"Iet Conference Publications","5","Computation Theory","26","Friedrich-Alexander-Universität Erlangen-Nürnberg","6","Politechnika Bialostocka","2",,,,,,
,,,,"Souza, R.O.A.","11",,,,,,,"Intermetallics","5","Deep Learning","26","University of Essex","6","Politecnico di Torino","2",,,,,,
,,,,"Tranquilin, R.L.","11",,,,,,,"International Journal Of Refrigeration","5","Distributed Generation","26","Universidad Jaume I","6","Rosemere Cancer Foundation","2",,,,,,
,,,,"Valentim, R.A.M.","11",,,,,,,"Journal Of Functional Biomaterials","5","Distributed Power Generation","26","Department of Aeronautics and Astronautics","6","Science Foundation Ireland","2",,,,,,
,,,,"Vaz, F.","11",,,,,,,"Journal Of Microwaves And Optoelectronics","5","FPGA","26","Université de Bretagne-Sud","6","State Key Laboratory of Urban Water Resource and Environment","2",,,,,,
,,,,"de Oliveira, A.J.","11",,,,,,,"Latin American Journal Of Solids And Structures","5","Factory Automation","26","Universidade Tiradentes","6","U.S. Department of Energy","2",,,,,,
,,,,"Andrade, P.","10",,,,,,,"Lecture Notes In Networks And Systems","5","Fibers","26","Universidade do Estado do Rio de Janeiro","6","Universidad de Navarra","2",,,,,,
,,,,"Aquino, E.M.F.","10",,,,,,,"Undefined","4","Industrial Electronics","26","Luleå University of Technology","6","Undefined","2125",,,,,,
