Scopus refine results values

"Your query : (AF-ID(60023857) AND SUBJAREA(ENGI) AND ( LIMIT-TO ( AF-ID,""Universidade Federal do Rio Grande do Norte"" 60023857) )  AND ( LIMIT-TO ( SUBJAREA,""ENGI"" ) ) )"


Number of results : 3675

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,"2003","43","Martínez-Huitle, C.A.","36","Arts and Humanities","4",,,,,"Materials Science And Engineering A","22","Robotics","64","Universidade Federal de Alagoas","46","National Science Foundation","17","Pakistan","16",,,,
,,"2002","32","Alves, C.","35","Immunology and Microbiology","3",,,,,"Microporous And Mesoporous Materials","22","Particle Size","63","Université Fédérale de Sergipe","42","Fundação Cearense de Apoio ao Desenvolvimento Científico e Tecnológico","16","Russian Federation","15",,,,
,,"2001","30","Pergher, S.B.C.","35","Neuroscience","2",,,,,"International Journal Of Refractory Metals And Hard Materials","21","Hardness","61","Universidade Federal da Bahia","36","Fundação de Amparo à Pesquisa do Estado do Rio Grande do Sul","16","Ireland","14",,,,
,,"2000","25","Catunda, S.Y.C.","34","Psychology","2",,,,,"Industrial And Engineering Chemistry Research","20","Genetic Algorithms","60","Instituto de Telecomunicações","35","Ministério da Ciência, Tecnologia e Ensino Superior","16","Peru","14",,,,
,,"1999","21","Costa, D.G.","34",,,,,,,"Journal Of Composite Materials","20","Optimization","60","Universidade Federal de Minas Gerais","33","Ministério da Ciência, Tecnologia, Inovações e Comunicações","15","Japan","9",,,,
,,"1998","21","Spinelli, J.E.","34",,,,,,,"Applied Sciences Switzerland","19","Energy Gap","59","Universidade Federal do Rio Grande","31","National Research Council","14","Slovakia","9",,,,
,,"1997","16","Melo, J.D.D.","32",,,,,,,"Journal Of Control Automation And Electrical Systems","19","Dielectric Materials","58","Petrobras","31","Universidade Federal da Paraíba","14","Argentina","8",,,,
,,"1996","15","Neto, A.D.D.","32",,,,,,,"Frontiers In Marine Science","18","Machine Learning","58","Universidade Estadual do Norte Fluminense","31","Instituto Nacional de Ciência e Tecnologia para Engenharia de Software","13","Czech Republic","8",,,,
,,"1995","6","Bohn, F.","31",,,,,,,"IECON Proceedings Industrial Electronics Conference","18","Silica","58","Universidade Federal do Pará","30","Ministério da Ciência, Tecnologia e Inovação","13","Romania","8",,,,
,,"1994","3","Macedo, D.A.","30",,,,,,,"Proceedings Of The International Astronautical Congress Iac","18","Substrates","56","Universidade Federal Fluminense","28","Agência Nacional de Energia Elétrica","12","South Africa","8",,,,
,,"1993","7","Alsina, P.J.","29",,,,,,,"Conference Record IEEE Instrumentation And Measurement Technology Conference","17","Energy Utilization","55","CNRS Centre National de la Recherche Scientifique","28","Fundação de Apoio à Pesquisa do Estado da Paraíba","11","Greece","7",,,,
,,"1992","3","Ribeiro, R.L.A.","29",,,,,,,"IEEE International Conference On Emerging Technologies And Factory Automation ETFA","17","Tensile Strength","55","Universidade Potiguar","28","Instituto Federal de Educação, Ciência e Tecnologia da Paraíba","11","Saudi Arabia","7",,,,
,,"1991","4","Albuquerque, E.L.","28",,,,,,,"International Journal Of Infrared And Millimeter Waves","17","Alumina","54","Universidad Pública de Navarra","28","Washington University in St. Louis","11","Colombia","6",,,,
,,"1990","3","Barros, L.S.","28",,,,,,,"Journal Of Electronic Materials","17","Fractals","54","Universidade Estadual de Feira de Santana","27","National Natural Science Foundation of China","10","New Zealand","6",,,,
,,"1989","6","Bustince, H.","27",,,,,,,"Optical Materials","17","Fuzzy Logic","53","Universidade Federal de Santa Maria","26","Instituto Nacional de Ciência e Tecnologia de Informação Quântica","9","Austria","5",,,,
,,"1988","3","Correa, M.A.","27",,,,,,,"Chemical Engineering Journal","16","Learning Systems","53","Universidade Federal de Pelotas","24","Instituto Nacional de Ciência e Tecnologia para Excitotoxicidade e Neuroproteção","9","Turkey","5",,,,
,,"1987","3","Garcia, A.","26",,,,,,,"Electric Power Systems Research","16","Powders","53","Universidade Federal do Parana","24","Instituto Serrapilheira","9","Iraq","4",,,,
,,"1986","2","Alves, S.M.","24",,,,,,,"IEEE Transactions On Fuzzy Systems","16","Artificial Intelligence","52","Institute for Systems and Computer Engineering, Technology and Science","24","Agencia Estatal de Investigación","7","Latvia","4",,,,
,,"1985","11","Silva, B.L.","24",,,,,,,"IEEE Transactions On Power Delivery","16","Binary Alloys","52","Universidade Federal Rural de Pernambuco","23","Alexander von Humboldt-Stiftung","7","Norway","4",,,,
,,"1984","3","Batista, T.","23",,,,,,,"Informacion Tecnologica","16","Decision Making","52","Universidade Tecnológica Federal do Paraná","23","Centro Nacional de Pesquisa em Energia e Materiais","7","Ecuador","3",,,,
,,"1983","3","Vasques, F.","23",,,,,,,"Physica B Condensed Matter","16","Energy Efficiency","52","Instituto Tecnologico de Aeronautica","21","Deutscher Akademischer Austauschdienst","7","Israel","3",,,,
,,"1982","3","Neto, A.G.","22",,,,,,,"Advances In Intelligent Systems And Computing","15","Mathematical Models","51","Instituto Federal de Educação, Ciência e Tecnologia do Maranhão","21","Engineering and Physical Sciences Research Council","7","South Korea","3",,,,
,,"1981","4","Ferrari, P.","21",,,,,,,"Journal Of Adhesion Science And Technology","15","X Ray Diffraction Analysis","51","Université Paris-Saclay","21","European Research Council","7","Thailand","3",,,,
,,"1979","1","Freire Júnior, R.C.S.","21",,,,,,,"Tribology International","15","Temperature","50","Universidade de Lisboa","21","Fondo Nacional de Desarrollo Científico y Tecnológico","7","Tunisia","3",,,,
,,,,"Guerreiro, A.M.G.","21",,,,,,,"Entropy","14","Electric Fault Currents","49","Instituto Nacional de Pesquisas Espaciais","20","Fundação de Amparo à Pesquisa do Estado do Amazonas","7","United Arab Emirates","3",,,,
,,,,"Lima, K.M.G.","21",,,,,,,"Journal Of Intelligent And Robotic Systems Theory And Applications","14","Adaptive Control Systems","48","Università degli Studi di Brescia","20","Fundação de Amparo à Pesquisa e ao Desenvolvimento Científico e Tecnológico do Maranhão","7","Croatia","2",,,,
,,,,"Araujo, A.S.","20",,,,,,,"Journal Of The Brazilian Society Of Mechanical Sciences And Engineering","14","Computer Software","46","Pontifícia Universidade Católica do Rio de Janeiro","20","Generalitat Valenciana","7","Egypt","2",,,,
,,,,"Feitor, M.C.","20",,,,,,,"Optics Infobase Conference Papers","14","Slot Antennas","46","Consejo Superior de Investigaciones Científicas","19","Ministerio de Ciencia y Tecnología","7","Iran","2",,,,
,,,,"Portugal, P.","20",,,,,,,"IFAC Papersonline","13","Wear Of Materials","46","Instituto de Pesquisas Energeticas e Nucleares, Sao Paulo","19","Programa Operacional Temático Factores de Competitividade","7","Singapore","2",,,,
